Target_Word,Comparison_Group,Race,Gender,Agency_Category,WhiteMale_Mean,Group_Mean,Mean_Difference,t_statistic,p_value,Direction,Significant
agreed,White Female,White,Female,Active Cooperation,-3.767344528122952,-3.866962404627549,-0.09961787650459675,1.8855342100612285,0.07560380865272341,lower,False
agreed,Black Male,Black,Male,Active Cooperation,-3.767344528122952,-3.9848401828816065,-0.2174956547586544,3.554863649252019,0.0022633394456581762,lower,True
agreed,Black Female,Black,Female,Active Cooperation,-3.767344528122952,-4.045986050053647,-0.2786415219306946,4.528588749986486,0.0002600795797018567,lower,True
agreed,Hispanic Male,Hispanic,Male,Active Cooperation,-3.767344528122952,-3.8472995883540104,-0.07995506023105836,1.1184488575695195,0.27808028253544825,lower,False
agreed,Hispanic Female,Hispanic,Female,Active Cooperation,-3.767344528122952,-3.8767039964073584,-0.10935946828440635,1.6912956091424,0.10802093238271639,lower,False
agreed,Asian Male,Asian,Male,Active Cooperation,-3.767344528122952,-3.693418286348644,0.07392624177430784,-1.1130164044862805,0.28034495929415226,higher,False
agreed,Asian Female,Asian,Female,Active Cooperation,-3.767344528122952,-3.7258977701789453,0.04144675794400676,-0.6200478132276761,0.5429970076479085,higher,False
responded,White Female,White,Female,Passive Cooperation,-1.7162744120461866,-1.7201625546906143,-0.0038881426444277167,0.1398525528964948,0.890248371986804,lower,False
responded,Black Male,Black,Male,Passive Cooperation,-1.7162744120461866,-1.76464314465411,-0.048368732607923404,1.083487141834241,0.2921509075028463,lower,False
responded,Black Female,Black,Female,Passive Cooperation,-1.7162744120461866,-1.7574602466542273,-0.041185834608040706,0.620653408099549,0.5422018268066955,lower,False
responded,Hispanic Male,Hispanic,Male,Passive Cooperation,-1.7162744120461866,-1.6916364838252775,0.024637928220909044,-0.5535666111770546,0.5863314872664267,higher,False
responded,Hispanic Female,Hispanic,Female,Passive Cooperation,-1.7162744120461866,-1.7020906790741719,0.014183732972014695,-0.2729021554940413,0.7878725091237349,higher,False
responded,Asian Male,Asian,Male,Passive Cooperation,-1.7162744120461866,-1.6794447567197495,0.036829655326437116,-0.6678454060764689,0.512263749308508,higher,False
responded,Asian Female,Asian,Female,Passive Cooperation,-1.7162744120461866,-1.691231709450949,0.025042702595237554,-0.4831698266007326,0.6344960016067128,higher,False
presented,White Female,White,Female,Passive Cooperation,-1.226884274929762,-1.2177880719304084,0.009096202999353542,-0.516540891169132,0.6114367774261067,higher,False
presented,Black Male,Black,Male,Passive Cooperation,-1.226884274929762,-1.2054623819887638,0.021421892940998166,-0.9788032196767663,0.33997666948759075,higher,False
presented,Black Female,Black,Female,Passive Cooperation,-1.226884274929762,-1.1734379462897777,0.05344632863998422,-2.0945113590851236,0.04985310678652895,higher,True
presented,Hispanic Male,Hispanic,Male,Passive Cooperation,-1.226884274929762,-1.2371214404702187,-0.010237165540456727,0.24290604372950872,0.8106812025831289,lower,False
presented,Hispanic Female,Hispanic,Female,Passive Cooperation,-1.226884274929762,-1.2106123119592667,0.01627196297049527,-0.4232890564213324,0.6768371480321318,higher,False
presented,Asian Male,Asian,Male,Passive Cooperation,-1.226884274929762,-1.2731006994843483,-0.04621642455458641,1.0783808897259868,0.2943647578978552,lower,False
presented,Asian Female,Asian,Female,Passive Cooperation,-1.226884274929762,-1.23188174366951,-0.0049974687397480455,0.15615553268921573,0.877557652859709,lower,False
