Target_Word,Comparison_Group,Race,Gender,WhiteMale_Mean,Group_Mean,Mean_Difference,t_statistic,p_value,Direction,Significant,Category,Valence
difficult,White Female,White,Female,-0.7344519421458244,-0.7728010341525078,-0.03834909200668335,1.0134795247625832,0.4174963217044324,lower,False,Behavioral Language,Negative
difficult,Black Male,Black,Male,-0.7344519421458244,-0.7358122939864794,-0.001360351840654972,0.09759354092943329,0.931154680003415,lower,False,Behavioral Language,Negative
difficult,Black Female,Black,Female,-0.7344519421458244,-0.781488041083018,-0.047036098937193516,1.1596909645554547,0.3659086931861504,lower,False,Behavioral Language,Negative
difficult,Hispanic Male,Hispanic,Male,-0.7344519421458244,-0.5484755684932073,0.1859763736526171,-2.039507095905351,0.17823177140498156,higher,False,Behavioral Language,Negative
difficult,Hispanic Female,Hispanic,Female,-0.7344519421458244,-0.5695253908634186,0.16492655128240585,-1.7990652172626846,0.21382228736337155,higher,False,Behavioral Language,Negative
difficult,Asian Male,Asian,Male,-0.7344519421458244,-0.6461600884795189,0.08829185366630554,-1.4301922797295992,0.28893219958507677,higher,False,Behavioral Language,Negative
difficult,Asian Female,Asian,Female,-0.7344519421458244,-0.6689800346891085,0.06547190745671594,-0.7925842963196091,0.5111033121472097,higher,False,Behavioral Language,Negative
agitated,White Female,White,Female,-2.4402714702818127,-2.432802286412981,0.007469183868831664,-0.4115407337535537,0.6914808306297844,higher,False,Behavioral Language,Negative
agitated,Black Male,Black,Male,-2.4402714702818127,-2.641569866074456,-0.20129839579264353,3.49041812469898,0.00819339303066604,lower,True,Behavioral Language,Negative
agitated,Black Female,Black,Female,-2.4402714702818127,-2.619984487692515,-0.17971301741070222,3.924886116996505,0.0043881274787920845,lower,True,Behavioral Language,Negative
agitated,Hispanic Male,Hispanic,Male,-2.4402714702818127,-2.2777689496676126,0.16250252061420012,-2.614612956640929,0.030908011865576273,higher,True,Behavioral Language,Negative
agitated,Hispanic Female,Hispanic,Female,-2.4402714702818127,-2.2865980598661633,0.15367341041564941,-2.225041478693502,0.0567341626659256,higher,False,Behavioral Language,Negative
agitated,Asian Male,Asian,Male,-2.4402714702818127,-2.223573466142019,0.2166980041397939,-2.308345577780507,0.04981757916681107,higher,True,Behavioral Language,Negative
agitated,Asian Female,Asian,Female,-2.4402714702818127,-2.314355081982083,0.12591638829972984,-1.3560569807115104,0.2121134314109314,higher,False,Behavioral Language,Negative
confused,White Female,White,Female,-2.463084179162979,-2.5122864723205565,-0.049202293157577515,1.3427145547241601,0.25049746591573746,lower,False,Behavioral Language,Negative
confused,Black Male,Black,Male,-2.463084179162979,-2.4752930402755737,-0.012208861112594782,0.22335619353737146,0.8342014164285366,lower,False,Behavioral Language,Negative
confused,Black Female,Black,Female,-2.463084179162979,-2.479946404695511,-0.016862225532531916,0.2501746484739767,0.8147760084461169,lower,False,Behavioral Language,Negative
confused,Hispanic Male,Hispanic,Male,-2.463084179162979,-2.8150588631629945,-0.3519746840000155,3.2069467045685895,0.032683779566433716,lower,True,Behavioral Language,Negative
confused,Hispanic Female,Hispanic,Female,-2.463084179162979,-2.768984055519104,-0.30589987635612514,2.8092532865601294,0.04835366691635479,lower,True,Behavioral Language,Negative
confused,Asian Male,Asian,Male,-2.463084179162979,-2.731984889507294,-0.26890071034431484,2.5145487448423647,0.06573762451275761,lower,False,Behavioral Language,Negative
confused,Asian Female,Asian,Female,-2.463084179162979,-2.734373915195465,-0.27128973603248596,2.3104193825976393,0.08199450491764833,lower,False,Behavioral Language,Negative
inappropriate,White Female,White,Female,-9.503583272298178,-9.596487045288086,-0.09290377298990826,3.0064032148742705,0.09511585795476282,lower,False,Behavioral Language,Negative
inappropriate,Black Male,Black,Male,-9.503583272298178,-9.504186948140463,-0.0006036758422851562,0.008109665408196546,0.9942656948774777,lower,False,Behavioral Language,Negative
inappropriate,Black Female,Black,Female,-9.503583272298178,-9.584824879964193,-0.08124160766601562,0.6599662219557267,0.5771145910497875,lower,False,Behavioral Language,Negative
inappropriate,Hispanic Male,Hispanic,Male,-9.503583272298178,-9.53778870900472,-0.03420543670654297,0.12468459351339602,0.9121753536013862,lower,False,Behavioral Language,Negative
inappropriate,Hispanic Female,Hispanic,Female,-9.503583272298178,-9.58673588434855,-0.08315261205037316,0.2926685104013963,0.7973461883937543,lower,False,Behavioral Language,Negative
inappropriate,Asian Male,Asian,Male,-9.503583272298178,-9.00452963511149,0.4990536371866874,-1.2315621851420868,0.3432714746545793,higher,False,Behavioral Language,Negative
inappropriate,Asian Female,Asian,Female,-9.503583272298178,-9.109985828399658,0.3935974438985195,-1.0650247482718527,0.3984233618749339,higher,False,Behavioral Language,Negative
